No.;Quantity;Comment;Designator;MPN;Footprint;Part Name;LCSC;Category;ANNOTATION
1;15;100nF;C1,C3,C8,C10,C11,C28,C30,C31,C32,C34,C36,C37,C38,C42,C48;CL05B104KB54PNC;C0402;100nF ±10% 50V;C307331;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
2;7;10uF;C2,C29,C33,C35,C40,C43,C47;GRM21BR61H106KE43L;C0805;10uF ±10% 50V;C440198;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
3;3;22uF;C4,C5,C9;CL21A226MAQNNNE;C0805;22uF ±20% 25V;C45783;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
4;7;1uF;C6,C7,C12,C17,C23,C26,C27;HGC0402R5105K500NTEJ;C0402;1uF ±10% 25V,1uF ±10% 50V;C7472948;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
5;1;33pF;C13;CL05C330JB5NNNC;C0402;33pF ±5% 50V;C70465;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
6;1;2.7pF;C14;GJM1555C1H2R7BB01D;C0402;±0.1pF 2.7pF 50V;C76904;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
7;3;8.2pF;C15,C21,C24;CSA0402C0G8R2B500GT;C0402;8.2pF 50V;C48642899;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
8;3;2.2nF;C16,C22,C25;CC0402KRX7R8BB222;C0402;2.2nF ±10% 25V;C541386;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
9;1;47nF;C39;CC0402KRX7R9BB473;C0402;47nF ±10% 50V;C272875;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
10;2;22pF;C41,C46;0402CG220J500NT;C0402;22pF ±5% 50V;C1555;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
11;1;3.3nF;C44;CC0402KRX7R9BB332;C0402;3.3nF ±10% 50V;C107028;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
12;1;56nF;C45;CGA0402X7R563K160GT;C0402;56nF ±10% 16V;C36911349;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
13;2;15pF;C49,C50;0402CG150J500NT;C0402;15pF ±5% 50V;C1548;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
14;1;8.2pF;C51;CC0603CPNPO9BN8R2;C0603;±0.25pF 8.2pF 50V;C3847265;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
15;1;2.2nF;C52;0603B222K500NT;C0603;2.2nF ±10% 50V;C1604;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
16;1;1uF;C53;CL10A105KB8NNNC;C0603;1uF ±10% 50V;C15849;Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT;
17;1;ZX-XH2.54-4PWZ;CN1;ZX-XH2.54-4PWZ;CONN-TH_4P-P2.50_ZX-XH2.54-4PWZ;1x4P 间距:2.5mm 弯插 系列:XH;C7429643;Connectors:Wire To Board Connector;
18;1;SS34;D1;SS34;SMA_L4.3-W2.6-LS5.2-RD;电压:40V 电流:3A;C8678;Diodes:Schottky Diodes;
19;1;SRV05-4;D2;SRV05-4;SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL;单向ESD 5V截止 峰值脉冲电流：3A;C558418;Circuit Protection:ESD and Surge Protection (TVS/ESD);
20;1;BAV99,215;D3;BAV99,215;SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR;100V 215mA;C2500;Diodes:Switching Diodes;
21;1;18nH;L1;LQG15HS18NJ02D;L0402-RD;18nH ±5%;C86060;Inductors, Coils, Chokes:Inductors (SMD);
22;1;22nH;L2;LQW15AN22NH00D;IND-SMD_L1.0-W0.5-2;22nH ±3%;C703122;Inductors, Coils, Chokes:Power Inductors;
23;1;120nH;L3;LQW15ANR12J00D;L0402;120nH ±5%;C113123;Inductors, Coils, Chokes:Power Inductors;
24;3;2kΩ;R1,R16,R19;0402WGF2001TCE;R0402;2kΩ ±1% 62.5mW 厚膜电阻;C4109;Resistors:Chip Resistor - Surface Mount;
25;7;10kΩ;R2,R5,R6,R7,R8,R12,R13;0402WGF1002TCE;R0402;10kΩ ±1% 62.5mW 厚膜电阻;C25744;Resistors:Chip Resistor - Surface Mount;
26;2;5.1kΩ;R3,R4;0402WGF5101TCE;R0402;5.1kΩ ±1% 62.5mW 厚膜电阻;C25905;Resistors:Chip Resistor - Surface Mount;
27;1;100Ω;R17;0402WGF1000TCE;R0402;100Ω ±1% 62.5mW 厚膜电阻;C25076;Resistors:Chip Resistor - Surface Mount;
28;1;475Ω;R18;RT0402BRD07475RL;R0402;薄膜电阻 475Ω ±0.1% 63mW;C852800;Resistors:Chip Resistor - Surface Mount;
